*Step  = 0
*Time  = 0
*Data  = x;y;z
77 -0.9 0.5 0.7
78 -0.7 0.5 0.7
79 -0.5 0.5 0.7
80 -0.3 0.5 0.7
81 -1.1 0.7 0.7
82 -0.9 0.7 0.7
83 -0.7 0.7 0.7
84 -0.5 0.7 0.7
85 -0.3 0.7 0.7
86 -1.1 0.9 0.7
87 -0.9 0.9 0.7
88 -0.7 0.9 0.7
89 -0.5 0.9 0.7
90 -0.3 0.9 0.7
91 -1.1 1.1 0.7
92 -0.9 1.1 0.7
93 -0.7 1.1 0.7
94 -0.5 1.1 0.7
95 -0.3 1.1 0.7
96 -1.1 1.3 0.7
97 -0.9 1.3 0.7
98 -0.7 1.3 0.7
99 -0.5 1.3 0.7
100 -0.3 1.3 0.7
101 -1.1 0.5 0.9
102 -0.9 0.5 0.9
103 -0.7 0.5 0.9
104 -0.5 0.5 0.9
105 -0.3 0.5 0.9
106 -1.1 0.7 0.9
107 -0.9 0.7 0.9
108 -0.7 0.7 0.9
109 -0.5 0.7 0.9
110 -0.3 0.7 0.9
111 -1.1 0.9 0.9
112 -0.9 0.9 0.9
113 -0.7 0.9 0.9
114 -0.5 0.9 0.9
115 -0.3 0.9 0.9
116 -1.1 1.1 0.9
117 -0.9 1.1 0.9
118 -0.7 1.1 0.9
119 -0.5 1.1 0.9
120 -0.3 1.1 0.9
121 -1.1 1.3 0.9
122 -0.9 1.3 0.9
123 -0.7 1.3 0.9
124 -0.5 1.3 0.9
125 -0.3 1.3 0.9
*Step  = 1
*Time  = 0.1
*Data  = x;y;z
1 -1.10060186134 0.499398138661 0.0995312863082
2 -0.900279302758 0.499399157192 0.0995824259209
3 -0.7 0.499385043102 0.099585928986
4 -0.499720697242 0.499399157192 0.0995824259209
5 -0.299398138661 0.499398138661 0.0995312863082
6 -1.10060084281 0.699720697242 0.0995824259209
7 -0.900279697352 0.699720302648 0.0996328941706
8 -0.7 0.699714766648 0.0996368681796
9 -0.499720302648 0.699720302648 0.0996328941706
10 -0.299399157192 0.699720697242 0.0995824259209
11 -1.1006149569 0.9 0.099585928986
12 -0.900285233352 0.9 0.0996368681796
13 -0.7 0.9 0.0996419971461
14 -0.499714766648 0.9 0.0996368681796
15 -0.299385043102 0.9 0.099585928986
16 -1.10060084281 1.10027930276 0.0995824259209
17 -0.900279697352 1.10027969735 0.0996328941706
18 -0.7 1.10028523335 0.0996368681796
19 -0.499720302648 1.10027969735 0.0996328941706
20 -0.299399157192 1.10027930276 0.0995824259209
21 -1.10060186134 1.30060186134 0.0995312863082
22 -0.900279302758 1.30060084281 0.0995824259209
23 -0.7 1.3006149569 0.099585928986
24 -0.499720697242 1.30060084281 0.0995824259209
25 -0.299398138661 1.30060186134 0.0995312863082
26 -1.10143887316 0.498561126839 0.298228990892
27 -0.900693242061 0.498554310316 0.298356004668
28 -0.7 0.498541160367 0.298377334286
29 -0.499306757939 0.498554310316 0.298356004668
30 -0.298561126839 0.498561126839 0.298228990892
31 -1.10144568968 0.699306757939 0.298356004668
32 -0.900696862416 0.699303137584 0.298481228072
33 -0.7 0.699297257285 0.298503580499
34 -0.499303137584 0.699303137584 0.298481228072
35 -0.298554310316 0.699306757939 0.298356004668
36 -1.10145883963 0.9 0.298377334286
37 -0.900702742715 0.9 0.298503580499
38 -0.7 0.9 0.298528895526
39 -0.499297257285 0.9 0.298503580499
40 -0.298541160367 0.9 0.298377334286
41 -1.10144568968 1.10069324206 0.298356004668
42 -0.900696862416 1.10069686242 0.298481228072
43 -0.7 1.10070274271 0.298503580499
44 -0.499303137584 1.10069686242 0.298481228072
45 -0.298554310316 1.10069324206 0.298356004668
46 -1.10143887316 1.30143887316 0.298228990892
47 -0.900693242061 1.30144568968 0.298356004668
48 -0.7 1.30145883963 0.298377334286
49 -0.499306757939 1.30144568968 0.298356004668
50 -0.298561126839 1.30143887316 0.298228990892
51 -1.10176063853 0.498239361468 0.496464943123
52 -0.900877621195 0.498220326728 0.496607052653
53 -0.7 0.498220540269 0.4966477478
54 -0.499122378805 0.498220326728 0.496607052653
55 -0.298239361468 0.498239361468 0.496464943123
56 -1.10177967327 0.699122378805 0.496607052653
57 -0.900885644974 0.699114355026 0.496747936541
58 -0.7 0.699112946985 0.496789219343
59 -0.499114355026 0.699114355026 0.496747936541
60 -0.298220326728 0.699122378805 0.496607052653
61 -1.10177945973 0.9 0.4966477478
62 -0.900887053015 0.9 0.496789219343
63 -0.7 0.9 0.496832544247
64 -0.499112946985 0.9 0.496789219343
65 -0.298220540269 0.9 0.4966477478
66 -1.10177967327 1.10087762119 0.496607052653
67 -0.900885644974 1.10088564497 0.496747936541
68 -0.7 1.10088705301 0.496789219343
69 -0.499114355026 1.10088564497 0.496747936541
70 -0.298220326728 1.10087762119 0.496607052653
71 -1.10176063853 1.30176063853 0.496464943123
72 -0.900877621195 1.30177967327 0.496607052653
73 -0.7 1.30177945973 0.4966477478
74 -0.499122378805 1.30177967327 0.496607052653
75 -0.298239361468 1.30176063853 0.496464943123
76 -1.10188185038 0.498118149624 0.694557449418
77 -0.90094514539 0.498099003836 0.694675956843
78 -0.7 0.498096027266 0.694720072414
79 -0.49905485461 0.498099003836 0.694675956843
80 -0.298118149624 0.498118149624 0.694557449418
81 -1.10190099616 0.69905485461 0.694675956843
82 -0.900953474515 0.699046525485 0.694794888575
83 -0.7 0.699044111873 0.694838991654
84 -0.499046525485 0.699046525485 0.694794888575
85 -0.298099003836 0.69905485461 0.694675956843
86 -1.10190397273 0.9 0.694720072414
87 -0.900955888127 0.9 0.694838991654
88 -0.7 0.9 0.694882919986
89 -0.499044111873 0.9 0.694838991654
90 -0.298096027266 0.9 0.694720072414
91 -1.10190099616 1.10094514539 0.694675956843
92 -0.900953474515 1.10095347452 0.694794888575
93 -0.7 1.10095588813 0.694838991654
94 -0.499046525485 1.10095347452 0.694794888575
95 -0.298099003836 1.10094514539 0.694675956843
96 -1.10188185038 1.30188185038 0.694557449418
97 -0.90094514539 1.30190099616 0.694675956843
98 -0.7 1.30190397273 0.694720072414
99 -0.49905485461 1.30190099616 0.694675956843
100 -0.298118149624 1.30188185038 0.694557449418
101 -1.10194060295 0.498059397046 0.892577034952
102 -0.900977158144 0.498050562212 0.892671112148
103 -0.7 0.498049167591 0.892709867601
104 -0.499022841856 0.498050562212 0.892671112148
105 -0.298059397046 0.498059397046 0.892577034952
106 -1.10194943779 0.699022841856 0.892671112148
107 -0.900981268983 0.699018731017 0.892766054755
108 -0.7 0.699017574943 0.892804396533
109 -0.499018731017 0.699018731017 0.892766054755
110 -0.298050562212 0.699022841856 0.892671112148
111 -1.10195083241 0.9 0.892709867601
112 -0.900982425057 0.9 0.892804396533
113 -0.7 0.9 0.892841644032
114 -0.499017574943 0.9 0.892804396533
115 -0.298049167591 0.9 0.892709867601
116 -1.10194943779 1.10097715814 0.892671112148
117 -0.900981268983 1.10098126898 0.892766054755
118 -0.7 1.10098242506 0.892804396533
119 -0.499018731017 1.10098126898 0.892766054755
120 -0.298050562212 1.10097715814 0.892671112148
121 -1.10194060295 1.30194060295 0.892577034952
122 -0.900977158144 1.30194943779 0.892671112148
123 -0.7 1.30195083241 0.892709867601
124 -0.499022841856 1.30194943779 0.892671112148
125 -0.298059397046 1.30194060295 0.892577034952
*Step  = 2
*Time  = 0.2
*Data  = x;y;z
1 -1.10121613193 0.498783868073 0.0990454009488
2 -0.900565321705 0.498786852933 0.0991514418751
3 -0.7 0.498759214842 0.0991590235821
4 -0.499434678295 0.498786852933 0.0991514418751
5 -0.298783868073 0.498783868073 0.0990454009488
6 -1.10121314707 0.699434678295 0.0991514418751
7 -0.900565666016 0.699434333984 0.0992560606659
8 -0.7 0.699423534077 0.0992646850345
9 -0.499434333984 0.699434333984 0.0992560606659
10 -0.298786852933 0.699434678295 0.0991514418751
11 -1.10124078516 0.9 0.0991590235821
12 -0.900576465923 0.9 0.0992646850345
13 -0.7 0.9 0.0992756884571
14 -0.499423534077 0.9 0.0992646850345
15 -0.298759214842 0.9 0.0991590235821
16 -1.10121314707 1.10056532171 0.0991514418751
17 -0.900565666016 1.10056566602 0.0992560606659
18 -0.7 1.10057646592 0.0992646850345
19 -0.499434333984 1.10056566602 0.0992560606659
20 -0.298786852933 1.10056532171 0.0991514418751
21 -1.10121613193 1.30121613193 0.0990454009488
22 -0.900565321705 1.30121314707 0.0991514418751
23 -0.7 1.30124078516 0.0991590235821
24 -0.499434678295 1.30121314707 0.0991514418751
25 -0.298783868073 1.30121613193 0.0990454009488
26 -1.1029052885 0.497094711499 0.296399281929
