*Step  = 0
*Time  = 0
*Data  = x;y;z
108 -8.67361737988e-18 -0.200991814329 0.892732349235
109 0.200990546219 -0.200990546219 0.892693797216
110 0.401968077139 -0.200986281049 0.892598317371
111 -0.401969691535 -4.07660016855e-17 0.892637205776
112 -0.200991814329 -4.68375338514e-17 0.892732349235
113 -2.34187669257e-17 -2.86229373536e-17 0.892769806182
114 0.200991814329 -1.90819582357e-17 0.892732349235
115 0.401969691535 -1.38777878078e-17 0.892637205776
116 -0.401968077139 0.200986281049 0.892598317371
117 -0.200990546219 0.200990546219 0.892693797216
118 -4.16333634234e-17 0.200991814329 0.892732349235
119 0.200990546219 0.200990546219 0.892693797216
120 0.401968077139 0.200986281049 0.892598317371
121 -0.401958851569 0.401958851569 0.892503942113
122 -0.200986281049 0.401968077139 0.892598317371
123 -7.4593109467e-17 0.401969691535 0.892637205776
124 0.200986281049 0.401968077139 0.892598317371
125 0.401958851569 0.401958851569 0.892503942113
*Step  = 2
*Time  = 0.2
*Data  = x;y;z
1 -0.401241211978 -0.401241211978 0.0990255304158
2 -0.200577067902 -0.401238240152 0.0991337538144
3 -2.60208521397e-18 -0.401266467176 0.0991414627918
4 0.200577067902 -0.401238240152 0.0991337538144
5 0.401241211978 -0.401241211978 0.0990255304158
6 -0.401238240152 -0.200577067902 0.0991337538144
7 -0.200577448435 -0.200577448435 0.0992405351903
8 1.73472347598e-18 -0.200588482684 0.0992493172479
9 0.200577448435 -0.200577448435 0.0992405351903
10 0.401238240152 -0.200577067902 0.0991337538144
11 -0.401266467176 -9.54097911787e-18 0.0991414627918
12 -0.200588482684 -8.67361737988e-18 0.0992493172479
13 -4.33680868994e-18 -6.07153216592e-18 0.0992605320639
14 0.200588482684 8.67361737988e-19 0.0992493172479
15 0.401266467176 -2.60208521397e-18 0.0991414627918
16 -0.401238240152 0.200577067902 0.0991337538144
17 -0.200577448435 0.200577448435 0.0992405351903
18 -6.93889390391e-18 0.200588482684 0.0992493172479
